Lower,Upper,Proper
could be tired,COULD BE TIRED,Could Be Tired
never sleeping,NEVER SLEEPING,Never Sleeping
remembered what food is,REMEMBERED WHAT FOOD IS,Remembered What Food Is
forciblynocturnal,FORCIBLYNOCTURNAL,Forciblynocturnal
ready for bed but vyvanse is saying no,READY FOR BED BUT VYVANSE IS SAYING NO,Ready For Bed But Vyvanse Is Saying No
not going to go to bed,NOT GOING TO GO TO BED,Not Going To Go To Bed
feeling like you have to poop,FEELING LIKE YOU HAVE TO POOP,Feeling Like You Have To Poop
stay up all night,STAY UP ALL NIGHT,Stay Up All Night
mad,MAD,Mad
didn't eat a thing,DIDN'T EAT A THING,Didn'T Eat A Thing
irrational,IRRATIONAL,Irrational
sleepless,SLEEPLESS,Sleepless
eat,EAT,Eat
spazzing out,SPAZZING OUT,Spazzing Out
heart will explode,HEART WILL EXPLODE,Heart Will Explode
haven't ate,HAVEN'T ATE,Haven'T Ate
can't even enjoy this banana,CAN'T EVEN ENJOY THIS BANANA,Can'T Even Enjoy This Banana
keeping me up,KEEPING ME UP,Keeping Me Up
no sleeping,NO SLEEPING,No Sleeping
want to sleeeeep,WANT TO SLEEEEEP,Want To Sleeeeep
not eat,NOT EAT,Not Eat
food just looks/sounds/tastes fucking disgusting,FOOD JUST LOOKS/SOUNDS/TASTES FUCKING DISGUSTING,Food Just Looks/Sounds/Tastes Fucking Disgusting
fuck with your head,FUCK WITH YOUR HEAD,Fuck With Your Head
fucks up my sleep,FUCKS UP MY SLEEP,Fucks Up My Sleep
cotton mouth,COTTON MOUTH,Cotton Mouth
sleep less,SLEEP LESS,Sleep Less
grind my teeth,GRIND MY TEETH,Grind My Teeth
cantsleep,CANTSLEEP,Cantsleep
makes me an asshole,MAKES ME AN ASSHOLE,Makes Me An Asshole
wide awake,WIDE AWAKE,Wide Awake
continuous shitting,CONTINUOUS SHITTING,Continuous Shitting
negative,NEGATIVE,Negative
back to sleep,BACK TO SLEEP,Back To Sleep
heart stopped,HEART STOPPED,Heart Stopped
dehydration,DEHYDRATION,Dehydration
wideawake,WIDEAWAKE,Wideawake
doesn't care about my bed time,DOESN'T CARE ABOUT MY BED TIME,Doesn'T Care About My Bed Time
not slept,NOT SLEPT,Not Slept
stop spending all of your income in food,STOP SPENDING ALL OF YOUR INCOME IN FOOD,Stop Spending All Of Your Income In Food
couldn't fall asleep,COULDN'T FALL ASLEEP,Couldn'T Fall Asleep
feel like i need to throw up,FEEL LIKE I NEED TO THROW UP,Feel Like I Need To Throw Up
cooked my brain,COOKED MY BRAIN,Cooked My Brain
saliva,SALIVA,Saliva
need to sleep,NEED TO SLEEP,Need To Sleep
no taste,NO TASTE,No Taste
don't eat,DON'T EAT,Don'T Eat
think too much,THINK TOO MUCH,Think Too Much
think too much ,THINK TOO MUCH ,Think Too Much 
tolerant,TOLERANT,Tolerant
hating food,HATING FOOD,Hating Food
mind races,MIND RACES,Mind Races
can't sleeeep,CAN'T SLEEEEP,Can'T Sleeeep
teamnosleep,TEAMNOSLEEP,Teamnosleep
talk a mile a minute,TALK A MILE A MINUTE,Talk A Mile A Minute
can't go back to sleep,CAN'T GO BACK TO SLEEP,Can'T Go Back To Sleep
plan on eating,PLAN ON EATING,Plan On Eating
chest hurt,CHEST HURT,Chest Hurt
got ten minutes of sleep,GOT TEN MINUTES OF SLEEP,Got Ten Minutes Of Sleep
nosebleed,NOSEBLEED,Nosebleed
never have another orgasm,NEVER HAVE ANOTHER ORGASM,Never Have Another Orgasm
gain so much weight,GAIN SO MUCH WEIGHT,Gain So Much Weight
gained 30 lbs,GAINED 30 LBS,Gained 30 Lbs
